site_name,Zm,g1,Albedo,Elev,MAP,MAT,Source,Dataset,N_gN_100gleaf,AGB_t_DM_ha,Ref,lat,long,LC,Koppen,hc,LAImax,DATA_START,DATA_END,hc_RS,Elev_srtm3,Elev_gtopo30,theta_fc,theta_paw,theta_r,theta_s
US-xUN,39.23,5.5,,518.0,802.3,4.3,AMF_FLX,,,,,46.2339,-89.5373,MF,Dfb,,,2017.0,2021.0,12.253784685634,529.0,515,0.28802,0.197348,0.085376,0.47831
US-xWD,8.69,3.6,,579.0,493.76,4.9,AMF_FLX,,,,,47.1282,-99.2414,GRA,Dfb,,,2017.0,2023.0,0.054100784106922,584.0,573,0.35626,0.1834,0.16455,0.49665
US-xYE,18.52,2.6,,2116.0,493.44,3.4,AMF_FLX,,,,,44.9535,-110.5391,ENF,Dfb,,,2018.0,2021.0,2.748817258563048,2133.0,2116,0.3345,0.2005,0.12762,0.48108
VU-Coc,,4.1,,,,,,LT,,29.0,142,-15.443,167.192,EBF,Af,16.0,5.65,,,4.366388115134634,85.0,1,0.36551,0.1766,0.18043,0.48208
YA-CON,2.0,,,20.0,,,OzFlux,,,,,-33.613469,150.734864,GRA,Cfa,0.5,,2019.0,2025.0,4.123808713410488,,129,0.25949,0.13004,0.12487,0.41856
YA-Irr,2.0,,,20.0,,,OzFlux,,,,,-33.620812,150.763284,GRA,Cfa,0.5,,2019.0,2024.0,3.041309041404761,,108,0.2721,0.13665,0.13068,0.43762
ZA-Kru,16.0,3.9,0.19,359.0,547.0,21.9,FLUXNET2015,F15,1.89,17.0,143,-25.0196991,31.49690056,SAV,BSh,12.0,0.42,2000.0,2013.0,0.7998443543609814,,357,0.25484,0.11695,0.13451,0.42187
ZM-Mon,33.0,4.0,0.11,1053.0,945.0,25.0,FLUXNET2015,F15,,,,-15.43777847,23.25278091,DBF,Aw,12.0,1.7,2000.0,2009.0,1.6266278781876695,1088.0,1095,0.11221,0.031485,0.080723,0.40419
JYL,,,,3750.0,,,ChinaFlx,,,,,37.8384,101.116,GRA,ET,,,2018.0,2022.0,0.0025374321589318,3792.0,3749,0.33097,0.2034,0.12128,0.48398
ARS,,,,3033.0,,,ChinaFlx,,,,,38.0473,100.4643,GRA,Dwc,,,2013.0,2022.0,0.0752633111439099,3018.0,2991,0.2781,0.16153,0.11171,0.41247
DDS,,,,4148.0,,,ChinaFlx,,,,,38.0142,100.2421,GRA,ET,,,2015.0,2022.0,0.0655778869235945,4143.0,4103,0.32294,0.2012,0.11596,0.47247
DSL,,,,3739.0,,,ChinaFlx,,,,,38.8399,98.9406,WET,ET,,,2013.0,2022.0,0.0,3783.0,3787,0.28742,0.17037,0.1119,0.44239
DMS,,,,1556.0,,,ChinaFlx,,,,,38.8555,100.3722,CRO,BWk,,,2012.0,2022.0,0.314428384227455,1560.0,1560,0.2659,0.15039,0.11073,0.38691
ZYW,,,,1460.0,,,ChinaFlx,,,,,38.9751,100.4464,WET,BWk,,,2012.0,2022.0,0.3049175777881308,1458.0,1436,0.29017,0.16963,0.11568,0.41325
HZZ,,,,1731.0,,,ChinaFlx,,,,,38.7652,100.3186,GRA,BWk,,,2012.0,2022.0,0.2486430602222798,1735.0,1732,0.23018,0.12736,0.098158,0.36839
SDQ,,,,873.0,,,ChinaFlx,,,,,42.0012,101.1374,WSA,BWk,,,2013.0,2022.0,0.7292823438003375,932.0,935,0.23426,0.13033,0.09927,0.37125
HHL,,,,874.0,,,ChinaFlx,,,,,41.9903,101.1335,WSA,BWk,,,2013.0,2022.0,0.7250485620884065,936.0,938,0.23885,0.13546,0.09881,0.37813
HMo,,,,1054.0,,,ChinaFlx,,,,,42.1135,100.9872,GRA,BWk,,,,,0.1738028355512678,925.0,927,0.21874,0.11945,0.094576,0.35691
ARo,,,,3033.0,,,ChinaFlx,,,,,38.0443,100.4646,GRA,Dwc,,,2008.0,2011.0,0.0688945344271842,3029.0,2991,0.2781,0.16153,0.11171,0.41247
GTa,,,,2835.0,,,ChinaFlx,,,,,38.5333,100.25,ENF,ET,,,,,2.9712784099408625,2853.0,2963,0.33448,0.21345,0.11531,0.47655
YKe,,,,1519.0,,,ChinaFlx,,,,,38.8571,100.4103,CRO,BWk,,,2008.0,2011.0,0.3345644813788857,1529.0,1522,0.26675,0.14689,0.11493,0.383
BJT,,,,1562.0,,,ChinaFlx,,,,,38.915,100.3042,CRO,BWk,,,2012.0,2014.0,0.2041761729987105,1565.0,1538,0.22555,0.12176,0.099092,0.36536
SSW,,,,1594.0,,,ChinaFlx,,,,,38.7892,100.4933,GRA,BWk,,,,,0.2078261474408021,1548.0,1553,0.22045,0.120673,0.095333,0.36936
LDi,,,,878.0,,,ChinaFlx,,,,,41.9993,101.1326,GRA,BWk,,,2013.0,2015.0,0.7347911357025779,932.0,937,0.24045,0.13744,0.098475,0.38237
NTi,,,,875.0,,,ChinaFlx,,,,,42.0048,101.1338,CRO,BWk,,,2013.0,2015.0,0.7372624438675937,929.0,935,0.23426,0.13033,0.09927,0.37125
HYL,,,,876.0,,,ChinaFlx,,,,,41.9932,101.1239,WSA,BWk,,,2013.0,2015.0,0.7312776582740289,937.0,939,0.24345,0.13615,0.10264,0.38249
FHK,35.0,,,1079.0,,,JPFLX,,,,,35.44353,138.7647,DNF,Cfb,23.0,,2006.0,2012.0,7.63981308994786,1100.0,1084,0.34972,0.22087,0.12244,0.49293
TSE,32.0,,,70.0,,,JPFLX,,,,,45.0558,142.1073,MF,Dfb,21.0,,2001.0,2012.0,9.55145987371148,80.0,81,0.3435,0.22468,0.11161,0.51461
TMK,27.0,,,140.0,,,JPFLX,,,,,42.73694,141.5187,ENF,Dfb,15.0,,2001.0,2003.0,13.297233600808037,125.0,114,0.34184,0.22223,0.11286,0.50526
JP-Ozm,,,,22.0,,,JapanFlux2024,,,,,34.56347,135.533484,URB,Cfa,,,,,0.6762147207641253,21.0,15,0.3283,0.18516,0.13726,0.44908
JP-BBY,,,,17.0,,,JapanFlux2024,,,,,43.32296,141.81079,WET,Dfb,,,,,3.0566897624958305,16.0,16,0.40839,0.24101,0.15724,0.54968
JP-Om1,,,,27.0,,,JapanFlux2024,,,,,34.547178,135.502861,URB,Cfa,,,,,0.7430234026433202,30.0,31,0.33246,0.18612,0.1403,0.45283
JP-Om2,,,,30.0,,,JapanFlux2024,,,,,34.542453,135.508228,GRA,Cfa,,,,,0.7930954660718235,27.0,31,0.33246,0.18612,0.1403,0.45283
JP-Api,,,,831.0,,,JapanFlux2024,,,,,40.001359,140.936586,DBF,Dfb,,,,,12.104065072367648,839.0,801,0.37888,0.24284,0.12712,0.54091
JP-Fjy,,,,1043.0,,,JapanFlux2024,,,,,35.45454,138.76225,ENF,Dfb,,,,,7.884415679011058,1038.0,1033,0.34164,0.21078,0.12449,0.48637
KH-Kmp,,,,95.0,,,JapanFlux2024,,,,,12.74458,105.478566,EBF,Am,,,,,12.728950996365452,94.0,115,0.29437,0.14691,0.14169,0.448
JP-Kwg,,,,41.0,,,JapanFlux2024,,,,,35.8725,139.4869,DBF,Cfa,,,,,0.9163509120649316,40.0,25,0.33127,0.17977,0.14472,0.47193
JP-Kzw,,,,1385.0,,,JapanFlux2024,,,,,36.406667,138.5725,DBF,Dfb,,,,,8.821111716509206,1385.0,1400,0.35568,0.22379,0.12496,0.50383
MY-LHP,,,,140.0,,,JapanFlux2024,,,,,4.201007,114.039079,EBF,Af,,,,,7.91793792740663,140.0,211,0.4123,0.21972,0.17875,0.57452
JP-MBF,,,,596.0,,,JapanFlux2024,,,,,44.384167,142.318611,DBF,Dfb,,,,,9.56327800829876,596.0,533,0.42477,0.26546,0.1465,0.5839
JP-MMF,,,,343.0,,,JapanFlux2024,,,,,44.321944,142.261389,MF,Dfb,,,,,9.989150831678472,349.0,372,0.41003,0.26254,0.13623,0.57046
JP-Mra,,,,43.0,,,JapanFlux2024,,,,,37.690275,139.194429,CRO,Cfa,,,,,9.445408291773722,42.0,64,0.38096,0.21485,0.15736,0.52013
RU-NeB,,,,221.0,,,JapanFlux2024,,,,,62.325937,129.487342,GRA,Dfd,,,,,4.6281552657667975,,233,0.4937,0.2931,0.18164,0.6337
RU-NeC,,,,221.0,,,JapanFlux2024,,,,,62.314844,129.500075,OSH,Dfd,,,,,4.653371281028111,,219,0.50613,0.30301,0.18277,0.64379
RU-NeF,,,,223.0,,,JapanFlux2024,,,,,62.315615,129.499964,DNF,Dfd,,,,,4.6535005604887685,,220,0.49904,0.29805,0.18183,0.6364
ID-PaB,,,,14.0,,,JapanFlux2024,,,,,-2.340796,114.0379,OSH,Am,,,,,5.601460360719382,15.0,51,0.5099,0.26344,0.21712,0.66663
CN-HaM,,,,3250.0,,,JapanFlux2024,,,,,37.607432,101.332,GRA,Bsk,,,,,0.005167068549776,3199.0,3192,0.30702,0.18634,0.11538,0.44928
JP-Sac,,,,17.0,,,JapanFlux2024,,,,,34.573914,135.482889,URB,Cfa,,,,,0.5105230497386328,11.0,7,0.33404,0.18982,0.13805,0.46148
JP-Sb1,,,,6.0,,,JapanFlux2024,,,,,45.104722,141.688194,WET,Dfb,,,,,2.707516310501628,4.0,1,0.42373,0.2598,0.14867,0.59712
JP-Sb2,,,,4.0,,,JapanFlux2024,,,,,45.103611,141.680833,WET,Dfb,,,,,2.4271054239603176,2.0,1,0.40096,0.2467,0.14073,0.58171
JP-Srk,,,,340.0,,,JapanFlux2024,,,,,40.565485,140.127794,DBF,Dfa,,,,,14.640496827116548,341.0,340,0.37868,0.25023,0.11933,0.54644
JP-SwL,,,,758.0,,,JapanFlux2024,,,,,36.046572,138.108353,WAT,Dfc,,,,,8.73003543059013,757.0,751,0.30553,0.17728,0.12273,0.44546
JP-Ta2,,,,800.0,,,JapanFlux2024,,,,,36.139722,137.370833,ENF,Dfb,,,,,11.20964447103976,809.0,900,0.31322,0.19357,0.11416,0.46116
JP-Tak,,,,1420.0,,,JapanFlux2024,,,,,36.146167,137.423111,DBF,Dfb,,,,,12.252519729715782,1424.0,1351,0.36327,0.23429,0.12208,0.50861
JP-Tmk,,,,140.0,,,JapanFlux2024,,,,,42.736972,141.516944,DNF,Dfb,,,,,13.292197042676378,128.0,114,0.34184,0.22223,0.11286,0.50526
RU-Tur,,,,250.0,,,JapanFlux2024,,,,,64.208888,100.463555,DNF,Dfc,,,,,4.072061980771025,,194,0.3797,0.22028,0.15057,0.52661
JP-Yms,,,,220.0,,,JapanFlux2024,,,,,34.790278,135.840939,DBF,Cfa,,,,,6.110489818612898,218.0,179,0.326,0.18742,0.1325,0.46225
JP-Ynf,,,,213.0,,,JapanFlux2024,,,,,26.751,128.212667,EBF,Cfa,,,,,5.195058874686745,213.0,252,0.35965,0.20056,0.15139,0.49758
MN-Hst,,,,1227.0,,,JapanFlux2024,,,,,47.594131,105.856439,GRA,Bsk,,,,,0.0033279582804405,1227.0,1240,0.29333,0.1492,0.13833,0.42251
