site_name,Zm,g1,Albedo,Elev,MAP,MAT,Source,Dataset,N_gN_100gleaf,AGB_t_DM_ha,Ref,lat,long,LC,Koppen,hc,LAImax,DATA_START,DATA_END,hc_RS,Elev_srtm3,Elev_gtopo30,theta_fc,theta_paw,theta_r,theta_s
AL-PET,2.2,,,1765.0,,,OzFlux,,,,,-36.862222,147.320833,GRA,Cfb,0.3,,2017.0,2022.0,6.108112526951496,,1521,0.36897,0.20302,0.15537,0.54756
AR-SLu,11.0,5.5,0.11,500.0,400.0,,FLUXNET2015,,,,,-33.46480179,-66.45980072,MF,BSh,4.5,,,,1.6593241311629303,,484,0.25069,0.12656,0.11998,0.41602
AR-TF1,2.33,6.5,,40.0,,,AMF_FLX,,,,,-54.9733,-66.7335,WET,ET,,,2016.0,2018.0,2.055832872485956,,1,0.35965,0.22664,0.12536,0.51807
AR-Vir,,5.8,,,,,FLUXNET2015,F15,,196.0,1,-28.24,-56.189,ENF,Cfa,14.4,,,,1.8383632117513,,78,0.31772,0.17508,0.1362,0.47308
AT-Neu,3.0,2.9,0.16,970.0,852.0,6.5,FLUXNET2015,F15,2.906,32.0,2,47.1166687,11.31750011,GRA,Dfc,1.0,6.5,2002.0,2012.0,4.741337498813359,966.0,991,0.37552,0.23167,0.13524,0.53147
AU-ASM,13.7,,,600.0,,,OzFlux,,,,,-22.283,133.249,SAV,BWh,6.5,,2010.0,2025.0,2.3221634193226843,,592,0.2128,0.09531,0.11569,0.38189
AU-Ade,,4.2,,,,,FLUXNET2015,F15,,,3,-13.077,131.118,SAV,Aw,12.5,2.04,2007.0,2009.0,1.7612681340670324,74.0,171,0.21332,0.10028,0.11083,0.38425
AU-Boy,30.0,,,300.0,,,OzFlux,,,,,-32.477093,116.938559,EBF,Csa,13.0,,2017.0,2025.0,1.8425591158789945,,315,0.13377,0.055658,0.078071,0.39995
AU-Cow,35.0,,,86.0,,,OzFlux,,,,,-16.238189,145.42715,EBF,Am,26.0,,2009.0,2025.0,8.327938366718028,84.0,136,0.34053,0.16519,0.16729,0.494
AU-Cpr,20.0,,,60.0,,,OzFlux,,,,,-34.0027,140.5877,SAV,BSk,3.0,,2010.0,2025.0,0.3722363405336721,,84,0.20855,0.09538,0.11217,0.40609
AU-Ctr,45.0,,,66.0,,,OzFlux,,,,,-16.103219,145.446922,EBF,Am,25.0,,2010.0,2018.0,10.060677455962892,68.0,67,0.37022,0.18065,0.17977,0.51485
AU-Cum,30.0,,,27.0,,,OzFlux,,,,,-33.615278,150.723611,EBF,Cfa,24.0,,2014.0,2025.0,4.684525139070593,,124,0.25228,0.13047,0.11797,0.43104
AU-DaP,15.0,4.2,0.16,116.0,983.78,27.25,FLUXNET2015,F15,,0.0,7,-14.06330013,131.3181,GRA,Aw,0.300000012,,2008.0,2013.0,2.600772152686968,71.0,103,0.26105,0.12272,0.13447,0.42808
AU-DaS,21.0,,,110.0,,,OzFlux,,,,,-14.1592,131.3881,SAV,Aw,16.4,,2008.0,2025.0,3.172707013109898,74.0,98,0.20465,0.10046,0.10292,0.40609
AU-Dry,15.0,,,175.0,,,OzFlux,,,,,-15.2588,132.3706,SAV,Aw,0.15,,2009.0,2025.0,3.1377802551715592,176.0,191,0.21113,0.10178,0.10797,0.40802
AU-Emr,5.599999905,4.2,0.16,177.0,,,FLUXNET2015,F15,,0.0,10,-23.8586998,148.4745941,GRA,BSh,2.0,,2011.0,2013.0,0.4428340441486619,,181,0.33109,0.12308,0.19961,0.44112
AU-Fog,,6.5,,,1323.69,27.02,FLUXNET2015,F15,,,11,-12.545,131.307,WET,Aw,1.0,3.4408,2006.0,2008.0,2.156559770417434,4.0,27,0.27453,0.13154,0.13816,0.43384
AU-GWW,36.0,,,450.0,,,OzFlux,,,,,-30.1914,120.6541667,SAV,BSh,18.0,,2013.0,2024.0,2.292456171418453,,505,0.22786,0.10508,0.12043,0.3992
AU-Gin,15.0,,,46.8,,,OzFlux,,,,,-31.376351,115.71377,WSA,Csa,6.8,,2011.0,2024.0,1.3896879744001396,,99,0.15067,0.064807,0.085766,0.39991
AU-How,23.0,,,64.0,,,OzFlux,,,,,-12.4952,131.15005,WSA,Aw,16.0,,2002.0,2025.0,2.313540413156841,39.0,41,0.26611,0.13028,0.1318,0.44112
AU-Lit,30.0,,,222.0,,,OzFlux,,,,,-13.17904178,130.7945459,WSA,Aw,16.0,,2015.0,2025.0,3.6250937640646086,222.0,190,0.26865,0.12038,0.14399,0.42473
AU-Lon,4.25,,,157.0,,,OzFlux,,,,,-23.52326576,144.3104157,GRA,BSh,0.5,,2018.0,2024.0,0.229865870431542,,218,0.32369,0.11746,0.19817,0.43012
AU-Otw,10.0,5.5,,54.0,,,FLUXNET2015,,,,,-38.532341,142.816803,EBF,Cfb,0.100000001,,,,0.7231896336905056,,7,0.29221,0.15859,0.12848,0.50167
AU-RDF,,4.1,,,,,FLUXNET2015,F15,,32.0,13,-14.564,132.478,SAV,Aw,16.0,,2011.0,2013.0,1.6777917220641407,186.0,233,0.25466,0.11586,0.13555,0.42223
AU-Rgf,10.0,,,330.0,,,OzFlux,,,,,-32.506102,116.966827,CRO,Csa,1.0,,2015.0,2025.0,1.3332038625451803,,307,0.14163,0.057321,0.084233,0.37511
AU-Rig,5.0,,,152.0,,,OzFlux,,,,,-36.656,145.576,GRA,Cfa,0.4,,2011.0,2017.0,0.8864148700713177,,129,0.24843,0.11556,0.12891,0.40371
AU-Rob,46.0,,,710.0,,,FLUXNET2015,,,,,-17.11750031,145.6300964,EBF,Cfa,44.0,,2013.0,2025.0,16.18285111291074,710.0,667,0.34529,0.1626,0.17427,0.49361
AU-Sam,2.0,,,89.0,,,OzFlux,,,,,-27.38806,152.87778,GRA,Cfa,0.5,,2010.0,2017.0,8.578162331899783,,223,0.28018,0.13955,0.13585,0.45344
AU-SiP,2.5,,,860.0,,,OzFlux,,,,,-42.090556,147.0875,GRA,Cfb,0.1,,2019.0,2024.0,4.695787005521518,,878,0.31624,0.1764,0.13271,0.52214
AU-Stp,5.0,,,225.0,,,OzFlux,,,,,-17.1507,133.3502,GRA,BSh,0.5,,2008.0,2025.0,1.0407311986259355,228.0,253,0.2844,0.11848,0.16056,0.42248
AU-TTE,13.7,,,600.0,,,OzFlux,,,,,-22.283,133.249,GRA,BWh,6.5,,2012.0,2022.0,2.3221634193226843,,592,0.2128,0.09531,0.11569,0.38189
AU-Tum,70.0,,,1249.0,,,OzFlux,,,,,-35.6566,148.1516,EBF,Cfb,40.0,,2002.0,2022.0,12.603945702484468,,914,0.38036,0.20185,0.1669,0.55483
AU-WAL,110.0,,,753.0,,,OzFlux,,,,,-37.4259,145.1878,EBF,Cfb,100.0,,2005.0,2008.0,11.359714632665456,,562,0.35604,0.19013,0.15634,0.53577
AU-Wac,,5.5,,,1105.59,12.76,FLUXNET2015,F15,,348.0,14,-37.426,145.188,EBF,Cfb,80.0,5.01,2005.0,2008.0,11.357730487841897,,562,0.35604,0.19013,0.15634,0.53577
AU-War,80.0,,,108.0,,,OzFlux,,,,,-43.09502,146.65452,EBF,Cfb,55.0,,2013.0,2021.0,11.580199125337304,,38,0.37713,0.20918,0.1566,0.55577
AU-Whr,35.0,,,131.0,,,OzFlux,,,,,-36.6732,145.0294,EBF,Cfa,28.0,,2011.0,2014.0,6.482101510153066,,152,0.22042,0.11454,0.10346,0.41231
AU-Wom,33.0,,,705.0,,,OzFlux,,,,,-37.422506,144.094046,EBF,Cfb,23.0,,2010.0,2021.0,9.557477255017057,,608,0.35765,0.19683,0.15027,0.55221
AU-Wrr,92.0,,,100.0,,,FLUXNET2015,,,,,-43.09502029,146.6544952,,Cfb,90.0,,,,11.57972659848689,,38,0.37713,0.20918,0.1566,0.55577
AU-Ync,20.0,,,128.0,,,OzFlux,,,,,-34.9878,146.2908,GRA,BSk,0.5,,2012.0,2025.0,0.6062810021138991,,120,0.31199,0.10696,0.19754,0.4164
BE-Bra,39.0,5.5,,16.0,750.0,9.8,ICOS,F15,2.314,128.0,17,51.30916595,4.520559788,MF,Cfb,21.7,2.1,1996.0,2023.0,6.340062074823183,20.0,16,0.10343,0.035056,0.068371,0.4321
BE-Dor,,5.4,,,827.9,10.3,ICOS,,,,,50.311928,4.968011,GRA,Cfb,,,2011.0,2023.0,5.275423900615476,248.0,240,0.36619,0.22482,0.13544,0.47658
BE-Lcr,,5.5,,,861.3,10.6,ICOS,,,,,51.11218,3.85043,DBF,Cfb,3.71,,2019.0,2020.0,1.873954671194765,5.0,3,0.15151,0.076892,0.07411,0.37262
BE-Lon,2.700000048,5.6,0.19,167.0,800.0,10.0,ICOS,,,,,50.55158997,4.74612999,CRO,Cfb,1.0,6.0,2004.0,2023.0,1.6049264183824958,167.0,163,0.32375,0.21029,0.10914,0.4322
BE-Maa,3.0,4.6,,,839.1,10.3,ICOS,,,,,50.980183,5.631478,CSH,Cfb,1.0,,2016.0,2023.0,7.188462337911516,85.0,82,0.19485,0.115769,0.076349,0.39463
BE-Vie,40.0,4.6,0.11,493.0,1062.0,7.8,ICOS,F15,1.05,167.0,18,50.30506897,5.998050213,MF,Cfb,34.6,5.1,1996.0,2023.0,7.063455502477715,494.0,495,0.37104,0.23567,0.12774,0.51985
BR-Ban,,4.1,,,,,,LT,,143.0,19,-9.824,-50.159,EBF,Aw,18.0,,,,8.122789236304662,177.0,163,0.29409,0.1471,0.14121,0.4452
BR-CST,10.0,,,468.0,642.0,25.2,AMF_FLX,,,,,-7.9682,-38.3842,DNF,Aw,,,2014.0,2015.0,2.2011360307696224,469.0,477,0.26738,0.12139,0.14071,0.40277
BR-Ma2,,4.1,,,,,,LT,4.435,276.0,20,-2.609,-60.209,EBF,Af,35.0,5.16,,,20.972109761583443,114.0,67,0.33305,0.15065,0.17464,0.46748
BR-Npw,20.0,3.7,,120.0,1486.0,24.9,AMF_FLX,,,,,-16.498,-56.412,WSA,Aw,,,2013.0,2017.0,4.1856430462353,124.0,137,0.25857,0.13543,0.11833,0.41148
BR-Sa1,66.8,4.1,,88.0,2074.79,26.13,FLUXNET2015,F15,2.219,250.5,21,-2.857,-54.959,EBF,Am,40.0,5.18,2002.0,2011.0,19.20935283232241,198.0,89,0.36346,0.14854,0.20458,0.48972
BR-Sa3,64.0,4.1,0.11,100.0,2043.77,26.12,FLUXNET2015,F15,,268.0,21,-3.018029213,-54.97143555,EBF,Am,40.0,5.21,2000.0,2004.0,17.499479628416136,179.0,100,0.35395,0.142,0.20224,0.48184
BW-Ma1,12.60000038,3.9,,929.0,,,FLUXNET2015,LT,,6.0,22,-19.91650009,23.56032944,SAV,BSh,8.0,1.1,,,1.0851076663248689,949.0,929,0.10721,0.027732,0.079477,0.39318
CA-ARB,7.5,6.5,,90.0,700.0,-1.3,AMF_FLX,,,,,52.695,-83.9452,WET,Dfc,,,2011.0,2015.0,0.4264897095595307,90.0,106,0.41049,0.23284,0.1643,0.57656
CA-ARF,7.5,6.5,,88.0,700.0,-1.3,AMF_FLX,,,,,52.7008,-83.955,WET,Dfc,,,2011.0,2015.0,0.4353187332210247,88.0,100,0.40059,0.23002,0.15774,0.57221
CA-CF1,4.0,6.5,,16.5,452.0,-6.5,AMF_FLX,,,,,58.6658,-93.83,WET,Dfc,,,2007.0,2008.0,0.0067125577477394,22.0,20,0.36414,0.21106,0.14445,0.5229
CA-Ca1,45.0,2.5,,300.0,1369.0,9.93,AMF_FLX,LT,1.35,240.0,23,49.867,-125.334,ENF,Cfb,32.5,8.4,1996.0,2010.0,5.170800473991747,326.0,329,0.42103,0.27942,0.12847,0.58881
CA-Ca2,10.0,2.5,,300.0,1474.0,9.86,AMF_FLX,LT,1.0,82.0,23,49.87,-125.291,ENF,Csb,1.0,1.365,1999.0,2010.0,5.600702700494341,195.0,160,0.32758,0.22235,0.098932,0.50192
CA-Ca3,21.0,2.5,,,,,,LT,1.0,152.5,23,49.535,-124.9,ENF,Csb,7.57,4.7,,,6.144188840071744,169.0,126,0.41947,0.28182,0.12582,0.58098
CA-Cbo,44.0,4.7,,120.0,876.34,6.66,AMF_FLX,,,,,44.3167,-79.9333,DBF,Dfb,,,1994.0,2020.0,7.303587043649344,224.0,204,0.31234,0.19955,0.10624,0.5012
CA-DB2,3.0,6.5,,4.0,,,AMF_FLX,,,,,49.119,-122.9951,WET,Cfb,,,2019.0,2020.0,1.3499025098527275,2.0,4,0.28379,0.186618,0.091797,0.47853
CA-DBB,4.25,6.5,,4.0,1128.0,10.0,AMF_FLX,,,,,49.1293,-122.9849,WET,Cfb,,,2014.0,2020.0,1.5043929149209774,3.0,4,0.28724,0.188334,0.093276,0.48528
CA-ER1,5.0,4.0,,370.0,946.0,6.7,AMF_FLX,,,,,43.6405,-80.4123,CRO,Dfb,,,2015.0,2020.0,2.1362585115499093,369.0,365,0.39905,0.24977,0.1402,0.54315
CA-Gro,43.0,5.5,,340.0,831.0,1.3,FLUXNET2015,F15,1.466,98.0,24,48.2167,-82.1556,MF,Dfb,31.0,4.3,2003.0,2014.0,12.009042800897497,350.0,360,0.5031,0.27676,0.1869,0.68573
CA-LP1,26.0,2.5,,751.0,570.0,2.0,AMF_FLX,,,,,55.1119,-122.8414,ENF,Dfc,,,2007.0,2022.0,9.197511618970283,748.0,798,0.49363,0.28918,0.17238,0.66971
CA-Let,6.0,3.3,,,,,,LT,2.025,0.0,25,49.709,-112.94,GRA,BSk,0.365,1.22,,,0.3298954703832752,935.0,928,0.30626,0.14844,0.15158,0.42076
CA-MA1,3.0,4.0,,261.0,514.0,2.6,AMF_FLX,,,,,50.1645,-97.8762,CRO,Dfb,,,2009.0,2011.0,2.107537295819123,258.0,259,0.40484,0.21521,0.17778,0.55456
CA-MA2,3.0,4.0,,261.0,514.0,2.6,AMF_FLX,,,,,50.171,-97.8762,CRO,Dfb,,,2009.0,2011.0,2.154830782250649,258.0,259,0.41412,0.22196,0.17964,0.56351
CA-MA3,3.0,3.6,,261.0,514.0,2.6,AMF_FLX,,,,,50.1774,-97.8686,GRA,Dfb,,,2009.0,2011.0,2.217082140067689,258.0,258,0.41235,0.21892,0.1806,0.56504
CA-Man,30.0,,,259.0,520.0,-3.2,FLUXNET2015,,,,,55.8796,-98.4808,ENF,Dfc,,,1994.0,2008.0,3.5512617568766625,262.0,253,0.42816,0.19836,0.21452,0.56365
CA-Mer,4.0,6.5,,,,,,LT,0.92,14.0,26,45.409,-75.519,WET,Dfb,0.25,1.3,,,4.085605234460194,69.0,67,0.45799,0.25283,0.18164,0.63499
CA-NS1,24.0,5.8,0.1,260.0,500.29,-2.89,FLUXNET2015,F15,0.675,47.0,27,55.87919998,-98.48390198,ENF,Dfc,20.0,5.68,2001.0,2005.0,3.552241136967048,267.0,253,0.42729,0.19415,0.21751,0.56282
CA-NS2,20.0,5.8,0.1,260.0,499.82,-2.88,FLUXNET2015,F15,0.657,38.0,6,55.90579987,-98.52469635,ENF,Dfc,20.0,7.8,2001.0,2005.0,3.778773303822249,272.0,257,0.44564,0.2053,0.22221,0.58598
CA-NS3,10.0,5.8,,260.0,502.22,-2.87,AMF_FLX,F15,1.11,36.0,6,55.912,-98.382,ENF,Dfc,4.0,5.33,2001.0,2005.0,3.8894035037946,258.0,258,0.51831,0.21853,0.26543,0.65903
CA-NS4,10.0,5.8,0.1,260.0,502.22,-2.87,FLUXNET2015,,,,,55.91439819,-98.38059998,ENF,Dfc,7.0,,2001.0,2005.0,3.9078588095119886,252.0,258,0.51831,0.21853,0.26543,0.65903
CA-NS5,9.0,5.8,0.1,260.0,500.34,-2.86,FLUXNET2015,F15,0.915,51.0,6,55.86309814,-98.48500061,ENF,Dfc,5.0,5.49,2001.0,2005.0,3.3953554435054323,263.0,254,0.45661,0.21592,0.22084,0.60355
CA-NS6,6.0,3.9,0.25,244.0,495.37,-3.08,FLUXNET2015,F15,1.95,51.0,6,55.91669846,-98.96440125,OSH,Dfc,4.0,2.97,2001.0,2005.0,3.709710589953972,271.0,245,0.40385,0.19315,0.19862,0.53752
CA-NS7,6.0,3.9,0.25,297.0,483.27,-3.52,FLUXNET2015,F15,1.36,37.0,6,56.63579941,-99.94830322,OSH,Dfc,0.25,1.36,2001.0,2005.0,3.371672176787889,273.0,290,0.41339,0.20007,0.2,0.55436
CA-Oas,39.0,4.7,,530.0,428.53,0.34,FLUXNET2015,F15,2.376,89.0,28,53.629,-106.198,DBF,Dfc,21.0,3.04,1996.0,2010.0,8.98553939630927,595.0,579,0.45705,0.27538,0.16324,0.62104
CA-Obs,26.0,2.5,,628.94,405.6,0.79,FLUXNET2015,F15,0.843,53.0,29,53.987,-105.118,ENF,Dfc,11.0,3.41,1997.0,2010.0,5.230585112332322,594.0,599,0.48595,0.26595,0.17217,0.69017
CA-Ojp,29.0,2.5,,,,,,LT,1.099,92.0,30,53.916,-104.692,ENF,Dfb,16.7,2.06,,,2.818404523082208,517.0,516,0.42548,0.23422,0.15061,0.66162
CA-Qcu,7.5,5.8,,392.0,,,FLUXNET2015,LT,,27.0,31,49.2670784,-74.03652954,ENF,Dfb,5.5,0.77,,,1.4695955751258392,419.0,413,0.4314,0.25866,0.14281,0.64184
CA-Qfo,24.0,5.8,0.1,382.0,962.32,-0.36,FLUXNET2015,F15,0.754,44.0,32,49.69250107,-74.34210205,ENF,Dfc,14.0,3.7,2003.0,2010.0,2.225690305715624,388.0,384,0.48141,0.27956,0.16423,0.67361
CA-SF1,12.1,2.5,0.1,536.0,470.0,0.4,FLUXNET2015,F15,0.95,85.0,33,54.48500061,-105.8175964,ENF,Dfc,6.0,3.4,2003.0,2006.0,2.696453430560158,567.0,572,0.50898,0.2728,0.18817,0.69976
CA-SF2,9.144,2.5,0.1,520.0,470.0,0.4,AMF_FLX,F15,1.07,57.0,33,54.2539,-105.8775,ENF,Dfc,4.0,3.0,2001.0,2006.0,3.4099990369871045,510.0,512,0.47351,0.26975,0.1733,0.65878
CA-SF3,18.288,3.9,0.25,540.0,470.0,0.4,FLUXNET2015,F15,1.35,57.0,33,54.09159851,-106.0053024,OSH,Dfc,1.0,1.1,2001.0,2006.0,5.428159188439426,545.0,555,0.45002,0.2584,0.16521,0.64152
CA-SJ1,10.0,2.5,,,,,,LT,1.5,61.0,34,53.908,-104.656,ENF,Dfb,1.7,1.14,,,2.78669226230047,514.0,518,0.40534,0.22795,0.14374,0.64543
CA-SJ2,5.0,2.5,,,,,,LT,,52.0,35,53.945,-104.649,ENF,Dfc,0.19,0.18,,,2.5885043918238195,520.0,523,0.38061,0.22048,0.13539,0.62178
CA-TP1,13.6,5.8,,265.0,1036.0,8.0,AMF_FLX,F15,2.13,54.0,36,42.661,-80.56,ENF,Dfb,6.5,0.45,2002.0,2017.0,6.100315534207842,202.0,200,0.28511,0.17466,0.10503,0.47747
CA-TP2,15.0,5.8,,212.0,1036.0,8.0,FLUXNET2015,F15,1.34,112.0,36,42.7744,-80.4588,ENF,Dfb,11.5,12.8,2002.0,2007.0,6.840915887850465,234.0,240,0.27514,0.1663,0.10371,0.48789
CA-TP3,20.5,5.8,,184.0,1036.0,8.0,AMF_FLX,F15,1.13,206.0,36,42.707,-80.348,ENF,Dfb,16.2,5.9,2002.0,2017.0,4.6501660663329725,226.0,216,0.28127,0.17173,0.10389,0.50266
CA-TP4,34.3,5.8,,212.0,1036.0,8.0,FLUXNET2015,F15,1.385,197.0,37,42.7102,-80.3574,ENF,Dfb,23.4,8.0,2002.0,2014.0,5.118194661452241,232.0,219,0.28362,0.17333,0.10445,0.50669
CA-TPD,36.6,4.7,,260.0,1036.0,8.0,FLUXNET2015,F15,,190.0,37,42.635,-80.558,DBF,Dfb,25.7,3.98,2012.0,2014.0,5.112482904621847,213.0,196,0.29449,0.17538,0.11333,0.48372
CA-WP1,9.0,6.5,,,,,,LT,1.15,56.0,38,54.954,-112.467,WET,Dfc,3.4,2.61,,,6.528231559942928,544.0,553,0.48384,0.26929,0.17923,0.67152
CG-Tch,,3.8,,82.0,1150.0,25.7,FLUXNET2015,F15,,4.0,,-4.289,11.656,SAV,Aw,2.0,,2006.0,2009.0,4.412046183450929,87.0,1,0.221,0.11064,0.1087,0.42486
CH-Aws,2.0,4.2,,,918.0,2.3,ICOS,,,,,46.583194,9.790417,GRA,ET,0.3,2.5,2006.0,2020.0,1.4090021616344743,1989.0,2087,0.35037,0.23441,0.10817,0.52678
CH-Cha,2.0,4.8,0.16,393.0,1136.0,9.5,ICOS,F15,2.626,15.0,39,47.21022034,8.410440445,GRA,Cfb,0.5,4.85,2005.0,2020.0,2.8770531400966157,390.0,392,0.32315,0.19304,0.12399,0.474
CH-Dav,35.0,3.3,0.1,1639.0,1062.0,2.8,ICOS,F15,1.13,102.0,"40,41",46.81533432,9.855919838,ENF,ET,25.0,5.5,1997.0,2023.0,2.7213258460123075,1651.0,1726,0.38215,0.24271,0.12911,0.55567
CH-Fru,2.549999952,4.2,0.16,982.0,1651.0,7.2,ICOS,F15,2.135,42.0,42,47.11583328,8.537779808,GRA,Cfb,0.4,4.85,2005.0,2020.0,5.09598085049386,978.0,1013,0.41498,0.24278,0.16171,0.55368
CH-Lae,40.0,4.6,,689.0,1100.0,8.3,ICOS,,,,,47.478333,8.364389,MF,Cfb,34.6,5.1,2004.0,2020.0,6.240529685381301,699.0,674,0.38026,0.22294,0.14937,0.51277
CH-Oe1,2.0,4.8,0.16,450.0,1100.0,9.0,FLUXNET2015,F15,,0.0,43,47.28583145,7.731939793,GRA,Cfb,0.5,4.85,2002.0,2008.0,6.99295386417669,451.0,451,0.33346,0.19198,0.13538,0.46237
CH-Oe2,2.700000048,5.6,,452.0,1155.0,9.8,ICOS,,,,,47.286417,7.73375,CRO,Cfb,1.0,6.0,2004.0,2020.0,7.019811020095264,449.0,449,0.33746,0.19268,0.13851,0.46575
CN-Cha,40.0,5.5,0.11,754.0,663.59,2.16,FLUXNET2015,F15,1.91,117.0,44,42.40250015,128.0957947,MF,Dwb,28.0,6.0,2003.0,2005.0,8.602412697218732,767.0,751,0.38998,0.23903,0.1432,0.51837
CN-Cng,2.0,3.8,0.16,138.0,,,FLUXNET2015,F15,,0.0,,44.59339905,123.509201,GRA,BSk,0.75,,2007.0,2010.0,0.0759382338806931,143.0,127,0.25599,0.13301,0.11806,0.40023
CN-Dan,2.099999905,3.8,0.16,4751.0,246.88,-1.54,FLUXNET2015,,,,,30.49780083,91.06639862,GRA,Dwc,1.0,,2004.0,2005.0,0.0010591116700867,4313.0,4323,0.22234,0.12197,0.09639,0.38715
CN-Din,32.0,4.6,0.11,261.0,1618.1,19.64,FLUXNET2015,F15,1.72,91.0,,23.17329979,112.5361023,EBF,Cfa,30.0,4.0,2003.0,2005.0,5.962146113879759,292.0,321,0.30094,0.16531,0.1298,0.45706
CN-Du2,3.0,3.8,0.16,1331.0,318.96,2.01,FLUXNET2015,F15,,0.0,45,42.04669952,116.2835999,GRA,Dwb,0.5,,2006.0,2008.0,0.1750728918171835,1321.0,1333,0.26302,0.14239,0.11562,0.39547
CN-Ha2,,6.5,,,,,FLUXNET2015,F15,,0.0,,37.609,101.327,WET,Dwc,0.65,2.8,2003.0,2005.0,0.0,3200.0,3197,0.30771,0.18327,0.11903,0.44819
CN-HaM,2.200000048,3.8,0.16,3975.0,,,FLUXNET2015,F15,2.938,0.0,46,37.36999893,101.1800003,GRA,ET,0.300000012,2.8,2002.0,2004.0,0.005167068549776,4004.0,3982,0.32438,0.20379,0.1145,0.48385
CN-Qia,39.59999847,3.5,0.1,64.0,1466.75,18.95,FLUXNET2015,F15,1.23,88.0,,26.74139977,115.0580978,ENF,Cfa,13.0,3.5,2003.0,2005.0,3.0887805547926384,112.0,84,0.3221,0.17399,0.14194,0.44849
CZ-BK1,35.0,5.1,,875.0,1316.0,6.7,ICOS,,,,,49.50207615,18.53688247,ENF,Dfb,25.0,7.6,2004.0,2023.0,13.3377199858087,867.0,855,0.36237,0.23638,0.11799,0.52856
CZ-BK2,,2.9,,855.0,1316.0,6.7,FLUXNET2015,F15,,169.0,,49.494,18.543,GRA,Dfb,0.1,,2004.0,2012.0,13.123625081484288,849.0,836,0.35937,0.23531,0.11644,0.52302
CZ-KrP,5.0,5.6,,,620.0,7.1,ICOS,,,,,49.573257,15.078773,CRO,Cfb,3.0,,2014.0,2020.0,4.580227317586684,540.0,491,0.30328,0.19159,0.10645,0.45908
CZ-Lnz,40.0,4.6,,,550.0,9.3,ICOS,,,,,48.681611,16.946416,MF,Cfb,34.6,2.9,2015.0,2023.0,4.01744132497132,170.0,162,0.27403,0.15567,0.1134,0.44073
CZ-RAJ,35.0,3.9,,,681.0,7.1,ICOS,,,,,49.4437236,16.6965125,ENF,Cfb,25.0,7.6,2012.0,2020.0,6.122824814026754,648.0,601,0.34376,0.22117,0.11569,0.50667
CZ-Stn,43.5,5.5,,,685.0,8.7,ICOS,,,,,49.035975,17.9699,DBF,Cfb,35.0,6.6,2010.0,2020.0,9.449649529796208,561.0,595,0.38221,0.2381,0.13659,0.51632
CZ-wet,2.700000048,6.5,,426.0,604.0,7.7,ICOS,F15,,22.0,,49.02465057,14.77035046,WET,Cfb,1.0,0.9,2006.0,2023.0,6.0677034388124165,425.0,425,0.29314,0.17388,0.11396,0.44874
DE-Akm,8.0,6.5,,-1.0,558.0,8.7,ICOS,F15,,49.0,,53.86617,13.68342,WET,Cfb,4.0,0.9,2009.0,2020.0,2.149313890446812,-1.0,2,0.28374,0.15716,0.12137,0.46436
DE-Bay,31.0,5.1,,781.0,,,FLUXNET2015,LT,,163.0,47,50.14194107,11.86693954,ENF,Cfb,25.0,5.6,,,4.1449786628734,782.0,834,0.36118,0.23454,0.11783,0.53826
DE-Gds,31.0,4.1,,,883.0,8.3,ICOS,,,,,56.0737,9.3341,EBF,Cfb,25.0,,,,4.78105953061988,90.0,84,0.26412,0.1602,0.099113,0.52924
DE-Geb,6.0,5.6,0.19,161.5,470.0,8.5,ICOS,,,,,51.10010147,10.91429996,CRO,Cfb,1.0,6.0,2001.0,2023.0,1.1472675571698243,159.0,156,0.31668,0.17887,0.1322,0.439
DE-Gri,3.0,2.9,0.16,385.0,877.0,8.4,ICOS,F15,,142.0,48,50.94947052,13.51253033,GRA,Cfb,0.82,6.5,2004.0,2023.0,4.470380463012536,375.0,377,0.36868,0.23709,0.12366,0.52638
DE-Hai,43.5,5.5,0.11,430.0,720.0,8.3,ICOS,F15,2.317,185.0,49,51.07916641,10.45300007,DBF,Cfb,35.0,6.6,2000.0,2023.0,5.705889382857691,458.0,431,0.39822,0.24254,0.14742,0.52675
DE-HoH,43.5,5.5,,,563.0,9.1,ICOS,,,,,52.085306,11.219222,DBF,Cfb,35.0,4.2,2015.0,2023.0,1.4180790960451983,209.0,186,0.32526,0.21501,0.10494,0.47314
DE-Hte,8.0,6.5,,0.2,645.0,9.2,ICOS,,,,,54.210278,12.176111,WET,Cfb,4.0,0.9,,,4.056944701999036,3.0,2,0.30588,0.18115,0.11815,0.50575
DE-Hzd,43.5,5.5,,,901.0,7.8,ICOS,,,,,50.96381,13.48978,DBF,Cfb,35.0,6.6,2010.0,2023.0,4.290569413493719,398.0,394,0.3608,0.23735,0.11604,0.52072
DE-Kli,3.5,5.6,0.12,478.0,842.0,7.6,ICOS,,,,,50.89305878,13.52237988,CRO,Cfb,1.5,6.0,2004.0,2023.0,4.287469601945475,480.0,475,0.32744,0.20599,0.1161,0.46146
DE-Lkb,,3.9,,1308.0,1599.0,4.0,FLUXNET2015,F15,,70.0,50,49.0996,13.3047,ENF,Dfb,2.0,,2009.0,2013.0,9.670048738365486,1315.0,1180,0.36483,0.238,0.11799,0.53952
DE-Lnf,,5.5,,451.0,894.6,6.96,FLUXNET2015,F15,,142.0,51,51.3282,10.3678,DBF,Cfb,35.0,4.2,2002.0,2012.0,4.072613877706278,473.0,457,0.40154,0.24734,0.14639,0.52172
